TYPE;TEMPLATE_ID;FUNCION_SQL;DATABASE
SELECT;LT_20160203165041;"SELECT STATUS FROM CARD.CIQSSFC WHERE ETIQUETA IN (SELECT ETIQUETA FROM CARD.HEADER WHERE PART_CODE = ' & #PART_CODE#$ & ""' AND CUSTSN = '"" & SERIAL_ENTRADA$ & ""') AND SPROD IN ('0230','P230') AND STATUS = 'P'";CARDS_PR
SELECT;LT_20160211105710;"SELECT PNCORP FROM CARD.LABEL_I1 WHERE LABEL_ID = ' & REPLACE(VARIABLE_1$,""1D"","""") & ""'";CARDS_PR
SELECT;LT_20160211105710;"SELECT DATE_CODE FROM CARD.LABEL_I1 WHERE LABEL_ID = ' & REPLACE(VARIABLE_1$,""1D"","""") & ""'";CARDS_PR
SELECT;LT_20160218144100;"SELECT F1 FROM CARD.CPARTCODE WHERE PARTCODE = ' & #PART_CODE#$ & ""'";CARDS_PR
SELECT;LT_20160218144100;"SELECT PN_CLIENTE FROM ELABELS.ALL_PRODUCTOS WHERE PARTCODE = ' & #PART_CODE#$ & ""'";ELAB_PR
SELECT;LT_20160218144100;"SELECT REVISION,DESCRIPCION FROM CARD.CPARTCODE WHERE PARTCODE = ' & #PART_CODE#$ & ""'";CARDS_PR
SELECT;LT_20160219102715;"SELECT STATUS FROM CARD.CIQSSFC WHERE ETIQUETA IN (SELECT ETIQUETA FROM CARD.HEADER WHERE PART_CODE = ' & #PART_CODE#$ & ""' AND CUSTSN = '"" & SERIAL_ENTRADA$ & ""') AND SPROD IN ('0230','P230') AND STATUS = 'P'";CARDS_PR
SELECT;LT_20160219102715;"SELECT SPROD_ACTUAL FROM CARD.HEADER WHERE PART_CODE = ' & #PART_CODE#$ & ""' AND CUSTSN = '"" & SERIAL_ENTRADA$ & ""' AND SPROD_ACTUAL = '0280'";CARDS_PR
SELECT;LT_20160302170115;"SELECT F1 FROM CARD.CPARTCODE WHERE PARTCODE = ' & #PART_CODE#$ & ""'";CARDS_PR
SELECT;LT_20160303104323;"SELECT F2 FROM CARD.CPARTCODE WHERE PARTCODE = ' & #PART_CODE#$ & ""'";CARDS_PR
SELECT;LT_20160311112437;"SELECT PART_CODE FROM CARD.HEADER WHERE ETIQUETA = ' & SERIAL_CELESTICA$ & ""'";CARDS_PR
SELECT;LT_20160315162412;"SELECT REVISION FROM CARD.CPARTCODE WHERE PARTCODE = ' & #PART_CODE#$ & ""'";CARDS_PR
SELECT;LT_20160316165828;"SELECT DISTINCT(ALIAS_CODESOFT_FILE) from  ELABELS.ETIQUETAS_LOG WHERE PART_CODE = ' & #PART_CODE#$ & ""' AND TEMPLATE_ID ='"" & #TEMPLATE_ID#$ & ""'";ELAB_PR
INSERT_UPDATE;LT_20160316165828;"UPDATE ELABELS.ETIQUETAS_LOG SET ALIAS_CODESOFT_FILE = ' & #PRINTER_FILE#$  & ""' , F_ARCHIVO = '1' WHERE PART_CODE = '"" & #PART_CODE#$ & ""' AND TEMPLATE_ID = '"" & #TEMPLATE_ID#$ & ""'";ELAB_PR
SELECT;LT_20160316174306;"SELECT PN_CLIENTE FROM ELABELS.ALL_PRODUCTOS WHERE PARTCODE= ' & #PART_CODE#$ & ""'";ELAB_PR
SELECT;LT_20160316174306;"SELECT REVISION FROM CARD.CPARTCODE WHERE PARTCODE = ' & #PART_CODE#$ & ""'";CARDS_PR
